,source,road,direction,f_system,urban_rural,class,miles,year,month_day,interval,day_string,date_time,travel_time_minutes,baseline_mean_TT,percent_change,impact_present,impact_subtype,corridor_response,impact_type,reference_period
45,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,21:00,Tuesday,2019-07-02 21:00:00,3.9499999999999997,4.034999999999999,-2.106567534076816,yes,Paving operations,Partial closure,work zone,06/2019
46,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,22:00,Tuesday,2019-07-02 22:00:00,3.9,4.009999999999999,-2.7431421446383797,yes,Paving operations,Partial closure,work zone,06/2019
47,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,23:00,Tuesday,2019-07-02 23:00:00,3.9499999999999997,4.3,-8.139534883720932,yes,Paving operations,Partial closure,work zone,06/2019
48,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,00:00,Wednesday,2019-07-03 00:00:00,3.9,4.01,-2.743142144638401,yes,Paving operations,Partial closure,work zone,06/2019
49,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,01:00,Wednesday,2019-07-03 01:00:00,3.9599999999999995,4.06,-2.463054187192121,yes,Paving operations,Partial closure,work zone,06/2019
50,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,02:00,Wednesday,2019-07-03 02:00:00,3.8799999999999994,4.0775,-4.843654199877382,yes,Paving operations,Partial closure,work zone,06/2019
51,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,03:00,Wednesday,2019-07-03 03:00:00,3.94,4.1274999999999995,-4.542701393095084,yes,Paving operations,Partial closure,work zone,06/2019
52,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,04:00,Wednesday,2019-07-03 04:00:00,3.6899999999999995,3.8725,-4.712717882504856,yes,Paving operations,Partial closure,work zone,06/2019
53,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,05:00,Wednesday,2019-07-03 05:00:00,3.7899999999999996,3.7775000000000003,0.3309066843150043,yes,Paving operations,Partial closure,work zone,06/2019
54,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,06:00,Wednesday,2019-07-03 06:00:00,3.9,3.835,1.6949152542372867,yes,Paving operations,Partial closure,work zone,06/2019
55,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,07:00,Wednesday,2019-07-03 07:00:00,3.8699999999999997,3.9050000000000002,-0.8962868117797845,no,None,None,None,06/2019
